file,year,month,size_kb
2024_01.parquet,2024,1,2275
2024_02.parquet,2024,2,2342
2024_03.parquet,2024,3,2251
2024_04.parquet,2024,4,2280
2024_05.parquet,2024,5,2292
2024_06.parquet,2024,6,2138
2024_07.parquet,2024,7,2441
2024_08.parquet,2024,8,2228
2024_09.parquet,2024,9,2398
2024_10.parquet,2024,10,2387
2024_11.parquet,2024,11,2607
2024_12.parquet,2024,12,2780
2025_01.parquet,2025,1,2748
2025_02.parquet,2025,2,2722
2025_03.parquet,2025,3,3034
2025_04.parquet,2025,4,2620
2025_05.parquet,2025,5,2832
2025_06.parquet,2025,6,2929
2025_07.parquet,2025,7,3152
2025_08.parquet,2025,8,2560
2025_09.parquet,2025,9,2036
2025_10.parquet,2025,10,2888
2025_11.parquet,2025,11,2723
2025_12.parquet,2025,12,3326
2026_01.parquet,2026,1,3185
2026_02.parquet,2026,2,3561
2026_03.parquet,2026,3,3446
2026_04.parquet,2026,4,7817
2026_05.parquet,2026,5,11046
2026_06.parquet,2026,6,4772
